data
7.91
7.91
7.84
8.19
8.00
7.90
8.28
7.98
8.29
7.88
8.18
7.93
7.91
7.96
8.00
7.95
7.91
7.98
8.10
7.91
8.14
8.03
8.19
8.00
8.18
8.28
7.76
8.23
7.70
8.31
7.92
7.99
7.95
8.00
7.93
7.87
8.24
8.11
8.21
8.23
7.98
8.03
8.21
7.77
8.04
8.26
8.09
7.81
8.03
8.03








































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































