v10;v1;v2;m1;m2
0.51;-0.07;0.25;50.67;97.16
0.5;-0.11;0.28;50.67;97.16
0.5;-0.08;0.26;50.67;97.16
0.51;-0.11;0.26;50.67;97.16
0.51;-0.08;0.25;50.67;97.16
